epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.05,1.05495,8.71024,0.9007,0.40287,0.33783,0.28135,0.20307,0.88582,1.62327,0.87805,6.76364e-05,6.76364e-05,6.76364e-05
2,908.737,0.93527,2.17755,0.87356,0.51675,0.49243,0.47963,0.35406,0.85826,1.2287,0.88028,0.000134294,0.000134294,0.000134294
3,1351.65,0.89845,1.50559,0.87324,0.63332,0.5452,0.58832,0.44178,0.84988,1.07014,0.88632,0.000199604,0.000199604,0.000199604
4,1792.4,0.88995,1.1976,0.87393,0.69362,0.65185,0.70029,0.52959,0.8431,0.88253,0.88743,0.000197941,0.000197941,0.000197941
5,2232.47,0.87699,1.00716,0.86989,0.74782,0.68473,0.76243,0.58185,0.84003,0.78883,0.88611,0.000195922,0.000195922,0.000195922
6,2674.59,0.85896,0.88142,0.87041,0.77381,0.71059,0.79273,0.60614,0.83273,0.72827,0.88357,0.000193902,0.000193902,0.000193902
7,3115.41,0.85633,0.82093,0.86905,0.80608,0.75302,0.83095,0.63435,0.83336,0.68053,0.88535,0.000191882,0.000191882,0.000191882
8,3552.56,0.85142,0.77185,0.86455,0.80385,0.75148,0.84023,0.64261,0.82153,0.66211,0.87744,0.000189863,0.000189863,0.000189863
9,3986.66,0.84362,0.72167,0.86351,0.83434,0.76971,0.86038,0.66114,0.82013,0.63274,0.87808,0.000187843,0.000187843,0.000187843
10,4420.15,0.83578,0.68519,0.86007,0.82325,0.80616,0.87934,0.67318,0.8181,0.60104,0.87699,0.000185824,0.000185824,0.000185824
11,4853.64,0.83286,0.66926,0.86009,0.83994,0.78832,0.87698,0.67254,0.82117,0.60489,0.87689,0.000183804,0.000183804,0.000183804
12,5288.71,0.82449,0.65297,0.85762,0.85338,0.79823,0.88046,0.6782,0.80719,0.58779,0.87232,0.000181784,0.000181784,0.000181784
13,5722.21,0.8263,0.62183,0.86039,0.85174,0.83195,0.89606,0.69125,0.80797,0.56142,0.87516,0.000179765,0.000179765,0.000179765
14,6157.38,0.8158,0.61578,0.8552,0.87017,0.81908,0.89879,0.69433,0.80759,0.55392,0.87405,0.000177745,0.000177745,0.000177745
15,6590.82,0.81508,0.59792,0.85965,0.85711,0.82338,0.90223,0.69384,0.81266,0.54265,0.87468,0.000175726,0.000175726,0.000175726
16,7025.21,0.8078,0.5925,0.85257,0.87431,0.8194,0.90555,0.70044,0.80357,0.53788,0.87214,0.000173706,0.000173706,0.000173706
17,7458.4,0.79832,0.57228,0.85645,0.8692,0.82651,0.90627,0.70003,0.80163,0.53166,0.8724,0.000171686,0.000171686,0.000171686
18,7895.28,0.79989,0.5543,0.85527,0.88244,0.85089,0.92018,0.71429,0.79658,0.51101,0.86968,0.000169667,0.000169667,0.000169667
19,8328.39,0.79169,0.53759,0.84916,0.88088,0.84378,0.91367,0.70573,0.79886,0.51939,0.87011,0.000167647,0.000167647,0.000167647
20,8762.39,0.7897,0.53637,0.85312,0.91054,0.82735,0.91805,0.71059,0.79553,0.50744,0.86901,0.000165628,0.000165628,0.000165628
21,9196.97,0.78607,0.51784,0.85062,0.88595,0.84642,0.91991,0.71001,0.79743,0.50925,0.8687,0.000163608,0.000163608,0.000163608
22,9630.26,0.78633,0.51599,0.85161,0.89725,0.8535,0.92463,0.71843,0.78697,0.4946,0.8674,0.000161588,0.000161588,0.000161588
23,10064.6,0.7752,0.51058,0.84879,0.88588,0.86397,0.92541,0.71952,0.78755,0.49252,0.86894,0.000159569,0.000159569,0.000159569
24,10498.8,0.78532,0.50127,0.84985,0.91016,0.86497,0.93293,0.72272,0.79462,0.48275,0.86976,0.000157549,0.000157549,0.000157549
25,10932,0.76906,0.4883,0.84628,0.87588,0.87966,0.93169,0.72031,0.79246,0.47926,0.86939,0.00015553,0.00015553,0.00015553
26,11365.5,0.77114,0.48758,0.847,0.89819,0.87736,0.93479,0.72788,0.79121,0.47504,0.86908,0.00015351,0.00015351,0.00015351
27,11798.8,0.77465,0.48393,0.84932,0.91661,0.86403,0.93269,0.72596,0.78279,0.46276,0.86698,0.00015149,0.00015149,0.00015149
28,12233.2,0.76057,0.47479,0.84448,0.8848,0.87354,0.93039,0.72324,0.78652,0.47535,0.8682,0.000149471,0.000149471,0.000149471
29,12667.2,0.75789,0.46763,0.84493,0.91609,0.86026,0.93821,0.72781,0.7863,0.46512,0.8678,0.000147451,0.000147451,0.000147451
30,13101,0.75968,0.46129,0.84554,0.90255,0.86711,0.93442,0.72506,0.78589,0.46497,0.86767,0.000145432,0.000145432,0.000145432
31,13536.2,0.75873,0.46159,0.84362,0.91482,0.8698,0.9369,0.72944,0.78348,0.45911,0.86645,0.000143412,0.000143412,0.000143412
32,13973.5,0.7593,0.45908,0.84243,0.91208,0.87285,0.94026,0.73439,0.78226,0.45513,0.86643,0.000141392,0.000141392,0.000141392
33,14407.1,0.74255,0.4461,0.83765,0.9131,0.8746,0.93848,0.73177,0.78639,0.45784,0.86752,0.000139373,0.000139373,0.000139373
34,14841.1,0.74772,0.44478,0.84125,0.91141,0.8775,0.93671,0.72813,0.78491,0.45213,0.8679,0.000137353,0.000137353,0.000137353
35,15275.9,0.74568,0.44031,0.83843,0.91716,0.88486,0.94427,0.73637,0.78071,0.44261,0.86634,0.000135334,0.000135334,0.000135334
36,15709.9,0.73994,0.43447,0.84072,0.90843,0.88193,0.94183,0.73477,0.78026,0.44893,0.86611,0.000133314,0.000133314,0.000133314
37,16144.5,0.7353,0.42899,0.8401,0.90304,0.8859,0.94196,0.73379,0.78598,0.45254,0.86734,0.000131294,0.000131294,0.000131294
38,16583.5,0.73279,0.42734,0.83836,0.90935,0.89448,0.94187,0.73544,0.77964,0.43895,0.86436,0.000129275,0.000129275,0.000129275
39,17018.4,0.7321,0.42439,0.83602,0.90366,0.89499,0.94515,0.73787,0.78269,0.44178,0.86623,0.000127255,0.000127255,0.000127255
40,17451.7,0.72167,0.42085,0.83598,0.90878,0.89282,0.94539,0.73641,0.7809,0.43584,0.86441,0.000125236,0.000125236,0.000125236
41,17889.7,0.72294,0.41589,0.83187,0.90848,0.89241,0.94333,0.73327,0.78733,0.44613,0.86803,0.000123216,0.000123216,0.000123216
42,18323.1,0.70916,0.41047,0.83275,0.9225,0.89532,0.94621,0.73828,0.78684,0.43691,0.86826,0.000121196,0.000121196,0.000121196
43,18759.4,0.71107,0.40757,0.83202,0.9219,0.88503,0.94387,0.73525,0.78116,0.43964,0.86609,0.000119177,0.000119177,0.000119177
44,19196.9,0.7167,0.40351,0.83523,0.90851,0.89254,0.94474,0.7376,0.77969,0.43664,0.86646,0.000117157,0.000117157,0.000117157
45,19632.3,0.70866,0.40128,0.83024,0.91727,0.89448,0.94494,0.73768,0.78392,0.43108,0.86747,0.000115138,0.000115138,0.000115138
46,20072.5,0.70584,0.39732,0.83221,0.91528,0.89669,0.94525,0.73941,0.78164,0.43133,0.86549,0.000113118,0.000113118,0.000113118
47,20509.6,0.70732,0.39466,0.83154,0.92044,0.89829,0.94528,0.73931,0.78117,0.43151,0.86605,0.000111098,0.000111098,0.000111098
48,20948.2,0.69615,0.39013,0.82777,0.91067,0.89991,0.94735,0.74093,0.78517,0.43269,0.86779,0.000109079,0.000109079,0.000109079
49,21384.1,0.68766,0.38418,0.82942,0.92656,0.89043,0.94836,0.74303,0.78246,0.42702,0.86697,0.000107059,0.000107059,0.000107059
50,21817.9,0.69662,0.38596,0.82622,0.90719,0.8972,0.94762,0.74212,0.78222,0.42735,0.86715,0.00010504,0.00010504,0.00010504
51,22255.9,0.68943,0.3848,0.82623,0.92749,0.88631,0.94747,0.74061,0.78464,0.4295,0.86786,0.00010302,0.00010302,0.00010302
52,22693.8,0.68044,0.37528,0.82999,0.93776,0.89278,0.9506,0.74603,0.78351,0.42542,0.86737,0.000101,0.000101,0.000101
53,23131,0.6823,0.37764,0.82785,0.92165,0.89974,0.9473,0.74155,0.78446,0.42172,0.86722,9.89808e-05,9.89808e-05,9.89808e-05
54,23566.5,0.67568,0.37592,0.82388,0.91527,0.89963,0.94801,0.7439,0.78167,0.42345,0.86837,9.69612e-05,9.69612e-05,9.69612e-05
55,23999.7,0.67306,0.36957,0.8251,0.92866,0.89123,0.9479,0.74405,0.78106,0.42046,0.86779,9.49416e-05,9.49416e-05,9.49416e-05
56,24433.1,0.67486,0.37203,0.8219,0.91689,0.90403,0.95002,0.74561,0.78143,0.42091,0.86709,9.2922e-05,9.2922e-05,9.2922e-05
57,24865.9,0.67049,0.37074,0.82432,0.91557,0.90126,0.95011,0.74439,0.78083,0.41862,0.86645,9.09024e-05,9.09024e-05,9.09024e-05
58,25299.5,0.67083,0.3661,0.82085,0.91295,0.90493,0.94915,0.74401,0.77995,0.41962,0.86704,8.88828e-05,8.88828e-05,8.88828e-05
59,25732.6,0.65634,0.36145,0.81933,0.91897,0.90045,0.94894,0.74422,0.78152,0.42119,0.86752,8.68632e-05,8.68632e-05,8.68632e-05
60,26168.7,0.65512,0.35625,0.81946,0.92,0.90707,0.95193,0.74919,0.78173,0.41863,0.86792,8.48436e-05,8.48436e-05,8.48436e-05
61,26602.2,0.64612,0.35412,0.81857,0.92117,0.90284,0.95105,0.74908,0.78313,0.4166,0.86836,8.2824e-05,8.2824e-05,8.2824e-05
62,27035.2,0.65764,0.35719,0.82161,0.93097,0.88635,0.95181,0.74603,0.78406,0.41443,0.86852,8.08044e-05,8.08044e-05,8.08044e-05
63,27468.6,0.64045,0.34887,0.81788,0.92528,0.90227,0.95226,0.74841,0.78208,0.40912,0.868,7.87848e-05,7.87848e-05,7.87848e-05
64,27901.9,0.63937,0.34626,0.82282,0.93203,0.89995,0.95202,0.74713,0.78504,0.41042,0.86892,7.67652e-05,7.67652e-05,7.67652e-05
65,28334.7,0.63772,0.34505,0.81506,0.92457,0.90507,0.95206,0.74428,0.7851,0.41569,0.86948,7.47456e-05,7.47456e-05,7.47456e-05
66,28767.6,0.64165,0.34615,0.81613,0.92235,0.90703,0.95063,0.74574,0.78745,0.41474,0.87062,7.2726e-05,7.2726e-05,7.2726e-05
67,29200.8,0.63519,0.34678,0.81785,0.92657,0.91216,0.95433,0.74863,0.78595,0.4106,0.86962,7.07064e-05,7.07064e-05,7.07064e-05
68,29634.5,0.63282,0.3388,0.81508,0.91971,0.90776,0.95083,0.74863,0.78485,0.41273,0.8702,6.86868e-05,6.86868e-05,6.86868e-05
69,30068,0.62907,0.33904,0.81422,0.92466,0.90336,0.95168,0.74735,0.78511,0.41019,0.87008,6.66672e-05,6.66672e-05,6.66672e-05
70,30502,0.62447,0.33963,0.81193,0.92159,0.9108,0.95306,0.74976,0.78391,0.41074,0.86956,6.46476e-05,6.46476e-05,6.46476e-05
71,30935.8,0.62511,0.33647,0.81522,0.93665,0.89913,0.95375,0.75003,0.78674,0.41347,0.87051,6.2628e-05,6.2628e-05,6.2628e-05
72,31369.8,0.62246,0.33627,0.81466,0.92498,0.90498,0.95303,0.75061,0.78556,0.41284,0.86931,6.06084e-05,6.06084e-05,6.06084e-05
73,31803.6,0.6154,0.3312,0.81396,0.93137,0.90494,0.95327,0.74774,0.78648,0.41296,0.87023,5.85888e-05,5.85888e-05,5.85888e-05
74,32238.6,0.61349,0.32987,0.8099,0.92754,0.9071,0.95329,0.74963,0.78403,0.41261,0.87025,5.65692e-05,5.65692e-05,5.65692e-05
75,32671.4,0.6065,0.32678,0.81197,0.93333,0.90343,0.95263,0.75007,0.78607,0.41032,0.87065,5.45496e-05,5.45496e-05,5.45496e-05
76,33103.2,0.60838,0.32816,0.81143,0.93032,0.9006,0.95402,0.75228,0.78458,0.40938,0.87037,5.253e-05,5.253e-05,5.253e-05
77,33535.8,0.60007,0.32232,0.81222,0.92931,0.90938,0.9541,0.74982,0.78644,0.40894,0.8708,5.05104e-05,5.05104e-05,5.05104e-05
78,33968.5,0.59537,0.31837,0.80793,0.92142,0.91004,0.95339,0.75203,0.78599,0.41066,0.87026,4.84908e-05,4.84908e-05,4.84908e-05
79,34405,0.59194,0.31812,0.80567,0.9291,0.90555,0.95356,0.75178,0.78636,0.40989,0.87066,4.64712e-05,4.64712e-05,4.64712e-05
80,34842.1,0.59295,0.321,0.81012,0.92787,0.90437,0.95233,0.75087,0.78664,0.40977,0.87119,4.44516e-05,4.44516e-05,4.44516e-05
81,35275.6,0.59477,0.31643,0.80762,0.9273,0.90585,0.95319,0.75103,0.78751,0.41031,0.87173,4.2432e-05,4.2432e-05,4.2432e-05
82,35711.3,0.58802,0.31244,0.80708,0.93252,0.90579,0.95417,0.75258,0.78615,0.40719,0.87128,4.04124e-05,4.04124e-05,4.04124e-05
83,36145.3,0.58802,0.31313,0.80992,0.94147,0.89795,0.95435,0.75288,0.78795,0.40664,0.87132,3.83928e-05,3.83928e-05,3.83928e-05
84,36581.2,0.57949,0.31125,0.80743,0.93514,0.89934,0.95427,0.7529,0.78661,0.40721,0.87159,3.63732e-05,3.63732e-05,3.63732e-05
85,37014.3,0.57704,0.30624,0.80511,0.93148,0.90482,0.95301,0.75065,0.78798,0.40694,0.87218,3.43536e-05,3.43536e-05,3.43536e-05
86,37449.8,0.58332,0.30768,0.80815,0.92628,0.91108,0.95337,0.75193,0.78833,0.40755,0.87274,3.2334e-05,3.2334e-05,3.2334e-05
87,37883.6,0.57068,0.30579,0.8061,0.92871,0.91249,0.95385,0.75188,0.78863,0.40528,0.87261,3.03144e-05,3.03144e-05,3.03144e-05
88,38319.3,0.57255,0.30623,0.80642,0.92781,0.90855,0.9543,0.7519,0.78821,0.40603,0.87231,2.82948e-05,2.82948e-05,2.82948e-05
89,38759.2,0.57284,0.30399,0.80501,0.92795,0.90955,0.95442,0.75202,0.78809,0.40414,0.87233,2.62752e-05,2.62752e-05,2.62752e-05
90,39199.1,0.56841,0.30036,0.80435,0.92597,0.91193,0.95422,0.75149,0.78893,0.40478,0.87308,2.42556e-05,2.42556e-05,2.42556e-05
91,39619.2,0.55812,0.28107,0.80413,0.93256,0.90627,0.95391,0.75249,0.78963,0.4061,0.87392,2.2236e-05,2.2236e-05,2.2236e-05
92,40037.5,0.55007,0.27786,0.80523,0.93238,0.90356,0.95322,0.75214,0.79092,0.40657,0.87444,2.02164e-05,2.02164e-05,2.02164e-05
93,40456.7,0.54339,0.27558,0.80613,0.92951,0.90578,0.95374,0.75117,0.79154,0.40703,0.87451,1.81968e-05,1.81968e-05,1.81968e-05
94,40871.7,0.54193,0.27287,0.80316,0.93517,0.90133,0.9539,0.75173,0.79142,0.40683,0.8744,1.61772e-05,1.61772e-05,1.61772e-05
95,41290.6,0.53497,0.27095,0.80285,0.93222,0.90343,0.95369,0.7523,0.79199,0.40722,0.87462,1.41576e-05,1.41576e-05,1.41576e-05
96,41705.9,0.53208,0.26761,0.80331,0.93332,0.90423,0.95353,0.75277,0.79148,0.40745,0.87459,1.2138e-05,1.2138e-05,1.2138e-05
97,42121.5,0.53217,0.26967,0.80202,0.93278,0.90313,0.95353,0.75197,0.79151,0.40792,0.87459,1.01184e-05,1.01184e-05,1.01184e-05
98,42537.5,0.53075,0.26603,0.8011,0.92872,0.90686,0.95341,0.75196,0.79189,0.40823,0.87458,8.0988e-06,8.0988e-06,8.0988e-06
99,42954.6,0.52684,0.26794,0.80013,0.93086,0.90555,0.95336,0.75204,0.79242,0.40932,0.87475,6.0792e-06,6.0792e-06,6.0792e-06
100,43369.3,0.52838,0.26834,0.80429,0.93326,0.90282,0.95314,0.75234,0.7923,0.40897,0.87505,4.0596e-06,4.0596e-06,4.0596e-06
