epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.883,1.05403,8.72084,0.90119,0.43726,0.35315,0.28018,0.20308,0.88817,1.6477,0.87835,6.76364e-05,6.76364e-05,6.76364e-05
2,907.367,0.93505,2.17173,0.87354,0.48538,0.50616,0.48056,0.35453,0.85695,1.2126,0.88194,0.000134294,0.000134294,0.000134294
3,1350.91,0.89654,1.50731,0.87311,0.57788,0.56753,0.57643,0.43558,0.84793,1.08926,0.88545,0.000199604,0.000199604,0.000199604
4,1794.33,0.88929,1.19941,0.87337,0.68655,0.65821,0.71416,0.54419,0.83621,0.85671,0.887,0.000197941,0.000197941,0.000197941
5,2237.81,0.87497,1.0031,0.86876,0.73548,0.67162,0.74205,0.56517,0.84216,0.82852,0.88665,0.000195922,0.000195922,0.000195922
6,2681.5,0.86325,0.88795,0.87157,0.76549,0.70699,0.79028,0.60288,0.83767,0.7495,0.88491,0.000193902,0.000193902,0.000193902
7,3125.5,0.85597,0.83438,0.86904,0.79592,0.75331,0.82559,0.63468,0.83166,0.66907,0.8828,0.000191882,0.000191882,0.000191882
8,3569.12,0.85035,0.77184,0.86478,0.81753,0.7541,0.84133,0.64329,0.82684,0.65703,0.88066,0.000189863,0.000189863,0.000189863
9,4013.4,0.84444,0.72815,0.86428,0.83631,0.77436,0.8615,0.65879,0.81986,0.62741,0.87783,0.000187843,0.000187843,0.000187843
10,4456.67,0.83781,0.69278,0.86102,0.8449,0.77949,0.87221,0.6712,0.81558,0.61191,0.87644,0.000185824,0.000185824,0.000185824
11,4900.89,0.83295,0.6732,0.85936,0.84972,0.79012,0.88,0.67281,0.82211,0.60745,0.87578,0.000183804,0.000183804,0.000183804
12,5344.29,0.82525,0.65181,0.8588,0.86184,0.80132,0.88783,0.68198,0.80882,0.58279,0.87222,0.000181784,0.000181784,0.000181784
13,5787.69,0.82774,0.6209,0.86076,0.85945,0.81355,0.89128,0.68567,0.80945,0.56246,0.87501,0.000179765,0.000179765,0.000179765
14,6231.27,0.81634,0.61857,0.85585,0.86355,0.82048,0.89669,0.69221,0.80538,0.55161,0.8734,0.000177745,0.000177745,0.000177745
15,6674.36,0.81775,0.60093,0.86079,0.85586,0.83189,0.90527,0.69596,0.80891,0.54491,0.87422,0.000175726,0.000175726,0.000175726
16,7118.27,0.80787,0.58714,0.85336,0.8653,0.82633,0.9001,0.69057,0.80717,0.55143,0.87388,0.000173706,0.000173706,0.000173706
17,7561.97,0.79785,0.57131,0.85668,0.8851,0.82332,0.91038,0.70414,0.79937,0.53555,0.87321,0.000171686,0.000171686,0.000171686
18,8005.82,0.7985,0.55755,0.85543,0.88946,0.83287,0.91612,0.71191,0.79316,0.51699,0.86891,0.000169667,0.000169667,0.000169667
19,8449.37,0.79255,0.54222,0.84883,0.88849,0.84814,0.92038,0.7138,0.79577,0.50996,0.8703,0.000167647,0.000167647,0.000167647
20,8891.86,0.78738,0.53665,0.85291,0.87884,0.867,0.92504,0.7177,0.79475,0.50135,0.87009,0.000165628,0.000165628,0.000165628
21,9333.86,0.78697,0.52336,0.8511,0.89705,0.86018,0.92903,0.71731,0.79485,0.49394,0.86871,0.000163608,0.000163608,0.000163608
22,9774.72,0.79,0.5207,0.8531,0.88091,0.86498,0.92838,0.72196,0.78964,0.4901,0.8696,0.000161588,0.000161588,0.000161588
23,10215.9,0.77544,0.51344,0.84932,0.88601,0.86429,0.93079,0.7242,0.79007,0.48796,0.86971,0.000159569,0.000159569,0.000159569
24,10656.8,0.78647,0.50139,0.85036,0.90269,0.87001,0.93519,0.72524,0.79458,0.47755,0.8699,0.000157549,0.000157549,0.000157549
25,11094.9,0.77204,0.49412,0.84734,0.90937,0.85923,0.93493,0.725,0.79463,0.47515,0.86931,0.00015553,0.00015553,0.00015553
26,11532.9,0.77167,0.48542,0.84767,0.91077,0.86667,0.93363,0.72605,0.78676,0.47279,0.86689,0.00015351,0.00015351,0.00015351
27,11970.6,0.7743,0.48178,0.84832,0.91794,0.86448,0.93431,0.72515,0.78596,0.46749,0.86728,0.00015149,0.00015149,0.00015149
28,12408.8,0.76072,0.47384,0.84401,0.91127,0.87883,0.94099,0.73156,0.78377,0.4625,0.86698,0.000149471,0.000149471,0.000149471
29,12846.6,0.76022,0.46944,0.84522,0.91175,0.86086,0.935,0.72544,0.78647,0.46938,0.86776,0.000147451,0.000147451,0.000147451
30,13284.7,0.76176,0.46326,0.84637,0.90973,0.86595,0.93882,0.73237,0.7845,0.4601,0.86608,0.000145432,0.000145432,0.000145432
31,13722.8,0.75954,0.46276,0.84344,0.90448,0.88163,0.93902,0.72982,0.78511,0.46136,0.86701,0.000143412,0.000143412,0.000143412
32,14160.5,0.75977,0.45905,0.8425,0.91864,0.88137,0.94405,0.73598,0.78593,0.45209,0.86715,0.000141392,0.000141392,0.000141392
33,14597.8,0.74401,0.44923,0.83826,0.91508,0.87748,0.94348,0.73396,0.78626,0.4506,0.86657,0.000139373,0.000139373,0.000139373
34,15035.8,0.74769,0.45077,0.8414,0.91232,0.87565,0.93856,0.73034,0.78258,0.45545,0.86506,0.000137353,0.000137353,0.000137353
35,15473.3,0.74784,0.44258,0.8393,0.91753,0.89449,0.9475,0.73703,0.78266,0.43974,0.86616,0.000135334,0.000135334,0.000135334
36,15912,0.74066,0.43764,0.8409,0.92297,0.87714,0.9427,0.73574,0.78143,0.44607,0.86578,0.000133314,0.000133314,0.000133314
37,16348.9,0.73456,0.42823,0.83989,0.914,0.88457,0.94508,0.73595,0.78539,0.44354,0.86685,0.000131294,0.000131294,0.000131294
38,16786.8,0.73353,0.4292,0.83838,0.90414,0.90147,0.94397,0.7342,0.78337,0.44087,0.86679,0.000129275,0.000129275,0.000129275
39,17224.6,0.73089,0.42664,0.83567,0.90579,0.9019,0.9482,0.7408,0.78255,0.43931,0.86669,0.000127255,0.000127255,0.000127255
40,17663,0.72072,0.4215,0.83619,0.92687,0.88536,0.94677,0.73712,0.78123,0.43394,0.8662,0.000125236,0.000125236,0.000125236
41,18100.9,0.72733,0.41936,0.83324,0.91844,0.89107,0.94629,0.73588,0.78799,0.44007,0.86715,0.000123216,0.000123216,0.000123216
42,18538.5,0.71374,0.41316,0.83286,0.9266,0.8788,0.94566,0.73625,0.78455,0.43618,0.8671,0.000121196,0.000121196,0.000121196
43,18982.3,0.71266,0.4062,0.83196,0.91247,0.89631,0.94672,0.74014,0.78108,0.43071,0.86574,0.000119177,0.000119177,0.000119177
44,19421.3,0.71916,0.40373,0.83539,0.92808,0.87221,0.94442,0.7376,0.77993,0.43121,0.86562,0.000117157,0.000117157,0.000117157
45,19858.5,0.71185,0.40418,0.83139,0.91977,0.87882,0.94329,0.73601,0.7839,0.43546,0.86668,0.000115138,0.000115138,0.000115138
46,20296.6,0.70714,0.40177,0.83231,0.93051,0.88245,0.94671,0.73959,0.78287,0.43157,0.86786,0.000113118,0.000113118,0.000113118
47,20734.6,0.70874,0.39517,0.83232,0.91363,0.90232,0.94963,0.74175,0.7865,0.42771,0.86718,0.000111098,0.000111098,0.000111098
48,21172.7,0.69806,0.39251,0.82818,0.91659,0.88627,0.94528,0.73884,0.78313,0.43339,0.86659,0.000109079,0.000109079,0.000109079
49,21610.7,0.68714,0.38821,0.82894,0.92481,0.88508,0.94652,0.7411,0.78228,0.42625,0.86636,0.000107059,0.000107059,0.000107059
50,22048.6,0.6983,0.38314,0.82677,0.90971,0.89847,0.94583,0.73906,0.7845,0.43039,0.86737,0.00010504,0.00010504,0.00010504
51,22487.1,0.69018,0.38485,0.82663,0.92193,0.89682,0.95222,0.74297,0.78716,0.42613,0.8682,0.00010302,0.00010302,0.00010302
52,22925.8,0.68205,0.37905,0.83092,0.92602,0.89607,0.95247,0.74323,0.78302,0.4222,0.86702,0.000101,0.000101,0.000101
53,23363.4,0.6834,0.38043,0.82785,0.92664,0.89483,0.94741,0.74082,0.7852,0.42882,0.86795,9.89808e-05,9.89808e-05,9.89808e-05
54,23801,0.6784,0.37649,0.82452,0.91474,0.90406,0.94963,0.74397,0.78465,0.42169,0.86888,9.69612e-05,9.69612e-05,9.69612e-05
55,24239.2,0.67329,0.37014,0.82493,0.92735,0.89459,0.95136,0.74478,0.7807,0.41808,0.86705,9.49416e-05,9.49416e-05,9.49416e-05
56,24677.1,0.67587,0.37198,0.82173,0.91408,0.89863,0.94786,0.74084,0.78483,0.42034,0.86769,9.2922e-05,9.2922e-05,9.2922e-05
57,25114.7,0.67094,0.3708,0.82398,0.91422,0.90109,0.95006,0.74428,0.78139,0.41547,0.86659,9.09024e-05,9.09024e-05,9.09024e-05
58,25552.6,0.67179,0.36648,0.82089,0.92174,0.90015,0.95078,0.74622,0.77958,0.41278,0.86724,8.88828e-05,8.88828e-05,8.88828e-05
59,25990.5,0.65794,0.35996,0.82002,0.92033,0.89295,0.94944,0.74402,0.78302,0.41861,0.86789,8.68632e-05,8.68632e-05,8.68632e-05
60,26428.5,0.65456,0.35936,0.81956,0.93109,0.89409,0.95107,0.74777,0.78202,0.41792,0.86786,8.48436e-05,8.48436e-05,8.48436e-05
61,26866.1,0.64805,0.35529,0.81911,0.93123,0.8972,0.95258,0.7472,0.78511,0.41345,0.86836,8.2824e-05,8.2824e-05,8.2824e-05
62,27303.9,0.6577,0.35881,0.82181,0.9263,0.89955,0.95058,0.74337,0.78127,0.4142,0.86758,8.08044e-05,8.08044e-05,8.08044e-05
63,27743.5,0.6387,0.34913,0.81766,0.91512,0.91125,0.94992,0.74522,0.78111,0.41387,0.86816,7.87848e-05,7.87848e-05,7.87848e-05
64,28181.4,0.64324,0.3466,0.82296,0.92765,0.8979,0.95162,0.74624,0.78629,0.4154,0.86945,7.67652e-05,7.67652e-05,7.67652e-05
65,28618.9,0.63884,0.348,0.81503,0.91749,0.90625,0.95155,0.74679,0.78295,0.41376,0.86839,7.47456e-05,7.47456e-05,7.47456e-05
66,29056.6,0.64289,0.34912,0.8164,0.92333,0.90083,0.95161,0.74664,0.78364,0.41462,0.86915,7.2726e-05,7.2726e-05,7.2726e-05
67,29495.8,0.63466,0.34817,0.81738,0.91766,0.91578,0.95441,0.75026,0.78191,0.41043,0.86848,7.07064e-05,7.07064e-05,7.07064e-05
68,29935.7,0.63287,0.34161,0.81474,0.9357,0.89504,0.95273,0.74876,0.7831,0.40887,0.86954,6.86868e-05,6.86868e-05,6.86868e-05
69,30375.5,0.62934,0.34039,0.81409,0.92607,0.89371,0.95077,0.74667,0.78518,0.41438,0.87028,6.66672e-05,6.66672e-05,6.66672e-05
70,30813.2,0.62571,0.34034,0.81188,0.92606,0.90528,0.95393,0.74963,0.78355,0.41065,0.8696,6.46476e-05,6.46476e-05,6.46476e-05
71,31252.1,0.62948,0.34016,0.81575,0.92919,0.907,0.95303,0.74686,0.78347,0.40877,0.86912,6.2628e-05,6.2628e-05,6.2628e-05
72,31689.8,0.62239,0.33922,0.81408,0.92483,0.90804,0.95294,0.74745,0.78481,0.40868,0.87,6.06084e-05,6.06084e-05,6.06084e-05
73,32128.2,0.61708,0.33358,0.81425,0.93469,0.90101,0.9535,0.74786,0.78571,0.41149,0.87031,5.85888e-05,5.85888e-05,5.85888e-05
74,32566.2,0.61326,0.32897,0.80946,0.92795,0.90881,0.95405,0.74962,0.78626,0.41112,0.87115,5.65692e-05,5.65692e-05,5.65692e-05
75,33004.4,0.6058,0.32652,0.8119,0.92559,0.90446,0.95439,0.74895,0.78511,0.40809,0.87112,5.45496e-05,5.45496e-05,5.45496e-05
76,33442.4,0.60753,0.32895,0.81123,0.93075,0.89983,0.95455,0.75103,0.78547,0.41089,0.87135,5.253e-05,5.253e-05,5.253e-05
77,33880.4,0.59965,0.32237,0.81207,0.92785,0.90597,0.95377,0.74892,0.78508,0.41078,0.8711,5.05104e-05,5.05104e-05,5.05104e-05
78,34317.8,0.59608,0.31988,0.80793,0.92532,0.90579,0.95412,0.7506,0.78511,0.40874,0.87039,4.84908e-05,4.84908e-05,4.84908e-05
79,34756.5,0.59758,0.31827,0.80584,0.93445,0.89996,0.95468,0.75232,0.7838,0.4071,0.87052,4.64712e-05,4.64712e-05,4.64712e-05
80,35194.3,0.59678,0.32127,0.81048,0.92744,0.90599,0.95475,0.75182,0.78574,0.40784,0.87073,4.44516e-05,4.44516e-05,4.44516e-05
81,35632.3,0.59326,0.3162,0.807,0.92746,0.91242,0.95469,0.7525,0.78611,0.40702,0.87101,4.2432e-05,4.2432e-05,4.2432e-05
