epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.62,1.0528,8.70259,0.90118,0.40904,0.36658,0.2819,0.20534,0.88533,1.59302,0.87991,6.76364e-05,6.76364e-05,6.76364e-05
2,879.175,0.93545,2.19269,0.87296,0.50193,0.4907,0.46703,0.3437,0.85774,1.24818,0.88144,0.000134294,0.000134294,0.000134294
3,1316.88,0.8955,1.51729,0.87191,0.58822,0.57739,0.57894,0.43783,0.84887,1.05328,0.88982,0.000199604,0.000199604,0.000199604
4,1750.8,0.89059,1.20005,0.87353,0.68819,0.655,0.70735,0.53704,0.8404,0.87334,0.88566,0.000197941,0.000197941,0.000197941
5,2184.66,0.87664,1.01503,0.86919,0.67424,0.69825,0.75153,0.57247,0.83994,0.79688,0.88875,0.000195922,0.000195922,0.000195922
6,2618.49,0.86119,0.88869,0.87094,0.77297,0.70865,0.80005,0.61288,0.83873,0.74008,0.88312,0.000193902,0.000193902,0.000193902
7,3053,0.85313,0.83701,0.868,0.79866,0.76361,0.83487,0.63932,0.83043,0.66744,0.8828,0.000191882,0.000191882,0.000191882
8,3487.39,0.84963,0.77854,0.86399,0.81144,0.73401,0.83206,0.63436,0.8265,0.67473,0.87859,0.000189863,0.000189863,0.000189863
9,3922.44,0.84131,0.73115,0.86373,0.83548,0.77463,0.85791,0.66062,0.81479,0.63166,0.87662,0.000187843,0.000187843,0.000187843
10,4356.66,0.83648,0.6972,0.86066,0.85598,0.78025,0.87241,0.66898,0.82016,0.6175,0.87708,0.000185824,0.000185824,0.000185824
11,4790.85,0.83213,0.67318,0.85952,0.84766,0.78751,0.87681,0.67293,0.81704,0.60538,0.87767,0.000183804,0.000183804,0.000183804
12,5225.05,0.82509,0.65718,0.85817,0.86245,0.80129,0.88557,0.68087,0.8101,0.58084,0.87214,0.000181784,0.000181784,0.000181784
13,5658.05,0.82643,0.62028,0.86047,0.87314,0.81343,0.89653,0.69356,0.8065,0.55383,0.87451,0.000179765,0.000179765,0.000179765
14,6091.64,0.81623,0.62495,0.85551,0.85925,0.82916,0.89902,0.69227,0.80898,0.5535,0.87456,0.000177745,0.000177745,0.000177745
15,6524.93,0.81619,0.6067,0.85976,0.87734,0.82337,0.90726,0.69923,0.81199,0.54002,0.87697,0.000175726,0.000175726,0.000175726
16,6959.64,0.80809,0.59475,0.85278,0.87602,0.81998,0.90678,0.69983,0.80559,0.54017,0.87205,0.000173706,0.000173706,0.000173706
17,7393.39,0.79897,0.57336,0.85581,0.88718,0.82016,0.91117,0.70362,0.7988,0.53175,0.87119,0.000171686,0.000171686,0.000171686
18,7828.03,0.79765,0.5601,0.8548,0.88037,0.83294,0.91193,0.70869,0.79673,0.51942,0.87144,0.000169667,0.000169667,0.000169667
19,8261.53,0.79039,0.53985,0.84878,0.90179,0.84362,0.91785,0.71123,0.79687,0.50504,0.87115,0.000167647,0.000167647,0.000167647
20,8695.69,0.78828,0.53724,0.8526,0.8892,0.83976,0.91648,0.71085,0.79503,0.5114,0.86959,0.000165628,0.000165628,0.000165628
21,9129.18,0.78657,0.53429,0.85057,0.90257,0.84655,0.9258,0.71892,0.7918,0.49399,0.86887,0.000163608,0.000163608,0.000163608
22,9562.58,0.78611,0.52574,0.85268,0.88606,0.86263,0.9259,0.71892,0.78994,0.50539,0.8692,0.000161588,0.000161588,0.000161588
23,9996.2,0.77626,0.51572,0.84963,0.87886,0.8621,0.92716,0.72144,0.78989,0.49423,0.86995,0.000159569,0.000159569,0.000159569
24,10430.9,0.78518,0.50782,0.84972,0.88515,0.84965,0.92409,0.71775,0.7932,0.48884,0.87019,0.000157549,0.000157549,0.000157549
25,10871.1,0.76946,0.49533,0.8474,0.9016,0.86284,0.92874,0.72175,0.78972,0.48072,0.86967,0.00015553,0.00015553,0.00015553
26,11305.7,0.77225,0.49003,0.84707,0.90317,0.85014,0.92587,0.72114,0.78754,0.48472,0.86855,0.00015351,0.00015351,0.00015351
27,11739.6,0.77295,0.48186,0.84839,0.90944,0.86288,0.93096,0.72434,0.7822,0.46706,0.86758,0.00015149,0.00015149,0.00015149
28,12174,0.76133,0.47823,0.8445,0.89486,0.86933,0.93375,0.72748,0.78121,0.47331,0.86509,0.000149471,0.000149471,0.000149471
29,12609.1,0.75822,0.4724,0.84518,0.89863,0.87094,0.9341,0.72611,0.78059,0.46837,0.86684,0.000147451,0.000147451,0.000147451
30,13042.8,0.7598,0.46582,0.84618,0.91021,0.85476,0.933,0.72761,0.7868,0.46608,0.86727,0.000145432,0.000145432,0.000145432
31,13477,0.7605,0.46541,0.84366,0.91317,0.8678,0.93741,0.72891,0.78333,0.46188,0.86684,0.000143412,0.000143412,0.000143412
32,13912.1,0.75806,0.46133,0.84268,0.90471,0.88206,0.94177,0.73282,0.78367,0.45484,0.86804,0.000141392,0.000141392,0.000141392
33,14346.3,0.74402,0.44922,0.83813,0.89559,0.88542,0.93926,0.73033,0.78656,0.45815,0.86618,0.000139373,0.000139373,0.000139373
34,14781.9,0.74848,0.44829,0.84165,0.90083,0.88585,0.93442,0.7293,0.77994,0.45976,0.86643,0.000137353,0.000137353,0.000137353
35,15215.8,0.74349,0.43996,0.83787,0.9136,0.88131,0.94335,0.73416,0.7822,0.44737,0.86637,0.000135334,0.000135334,0.000135334
36,15650.5,0.74046,0.43797,0.84113,0.91538,0.88381,0.94274,0.73706,0.77836,0.44906,0.86655,0.000133314,0.000133314,0.000133314
37,16086.4,0.73383,0.43131,0.8404,0.91696,0.88219,0.94273,0.73616,0.78751,0.45319,0.869,0.000131294,0.000131294,0.000131294
38,16520.8,0.73307,0.43173,0.83905,0.91993,0.88637,0.94103,0.73354,0.78229,0.44458,0.86657,0.000129275,0.000129275,0.000129275
39,16954.3,0.73236,0.42954,0.83684,0.92634,0.88092,0.94516,0.73895,0.77985,0.44128,0.8659,0.000127255,0.000127255,0.000127255
40,17388.3,0.72197,0.42364,0.83624,0.92577,0.87569,0.94365,0.73594,0.78078,0.43651,0.86579,0.000125236,0.000125236,0.000125236
41,17822.9,0.72432,0.41714,0.83221,0.92248,0.88609,0.94425,0.73716,0.78127,0.43929,0.86645,0.000123216,0.000123216,0.000123216
42,18259.1,0.71126,0.41343,0.83205,0.91635,0.89325,0.94759,0.74095,0.7821,0.43619,0.86649,0.000121196,0.000121196,0.000121196
43,18694.1,0.71233,0.40675,0.83283,0.90397,0.89806,0.94462,0.7395,0.78415,0.43848,0.86615,0.000119177,0.000119177,0.000119177
44,19129.4,0.7186,0.40641,0.83516,0.91562,0.8993,0.94651,0.74059,0.78123,0.43314,0.86675,0.000117157,0.000117157,0.000117157
45,19564.8,0.71147,0.40228,0.83137,0.91808,0.88727,0.94517,0.73979,0.78539,0.43361,0.86738,0.000115138,0.000115138,0.000115138
46,20000.6,0.70444,0.40001,0.83155,0.92087,0.88468,0.94454,0.73858,0.78348,0.4323,0.86765,0.000113118,0.000113118,0.000113118
47,20435.7,0.70749,0.39725,0.83199,0.91939,0.89084,0.94356,0.7375,0.78517,0.43667,0.86754,0.000111098,0.000111098,0.000111098
